date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:13	6331/6331	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2022:43:02%20GMT	https://arcstudio.webflow.io/	C:/My%20Web%20Sites/site/arcstudio.webflow.io/index.html	(from )
17:43:13	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Mon,%2006%20Sep%202021%2022:43:02%20GMT	https://arcstudio.webflow.io/robots.txt		(from )
17:43:14	84176/84176	---M-Z	200	added ('OK')	text/css	etag:%22a2836e170e1feca24cff745995ede3c4%22	https://assets.website-files.com/60228ac4ff92bcfde58d2cdc/css/arcstudio.webflow.70149592f.css	C:/My%20Web%20Sites/site/assets.website-files.com/60228ac4ff92bcfde58d2cdc/css/arcstudio.webflow.70149592f.css	(from https://arcstudio.webflow.io/)
17:43:14	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/site/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://arcstudio.webflow.io/)
17:43:14	616/616	---M--	200	added ('OK')	image/png	etag:%22c9a460c77f7ed396f4765630a29f9580%22	https://assets.website-files.com/60228ac4ff92bcfde58d2cdc/602afc96c984ec171512dcb2_favicon.png	C:/My%20Web%20Sites/site/assets.website-files.com/60228ac4ff92bcfde58d2cdc/602afc96c984ec171512dcb2_favicon.png	(from https://arcstudio.webflow.io/)
17:43:14	5797/5797	---M--	200	added ('OK')	image/png	etag:%22bb211c91dc8d08cb3f607c15cc0f3e03%22	https://assets.website-files.com/60228ac4ff92bcfde58d2cdc/602afc9c6f25162d26774ba6_webclip.png	C:/My%20Web%20Sites/site/assets.website-files.com/60228ac4ff92bcfde58d2cdc/602afc9c6f25162d26774ba6_webclip.png	(from https://arcstudio.webflow.io/)
17:43:15	9889/9889	---M--	200	added ('OK')	image/png	etag:%22ec1db933af7a7430519e7407f1afb64b%22	https://assets.website-files.com/60228ac4ff92bcfde58d2cdc/6029415a400a92b09460d461_logo_wb.png	C:/My%20Web%20Sites/site/assets.website-files.com/60228ac4ff92bcfde58d2cdc/6029415a400a92b09460d461_logo_wb.png	(from https://arcstudio.webflow.io/)
17:43:15	9712/9712	---M--	200	added ('OK')	image/png	etag:%223606dde9278f716c3d659656eef6a24a%22	https://assets.website-files.com/60228ac4ff92bcfde58d2cdc/6029412bad7fda49bbb71dce_logo_bw.png	C:/My%20Web%20Sites/site/assets.website-files.com/60228ac4ff92bcfde58d2cdc/6029412bad7fda49bbb71dce_logo_bw.png	(from https://arcstudio.webflow.io/)
17:43:15	10961/10961	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2022:43:05%20GMT	https://arcstudio.webflow.io/studio	C:/My%20Web%20Sites/site/arcstudio.webflow.io/studio.html	(from https://arcstudio.webflow.io/)
17:43:15	15075/15075	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2022:43:05%20GMT	https://arcstudio.webflow.io/projects	C:/My%20Web%20Sites/site/arcstudio.webflow.io/projects.html	(from https://arcstudio.webflow.io/)
